,Accession ID,Collection date,Submission date,Location,region,country,state,county
40,EPI_ISL_6699754,2021-11-19,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
41,EPI_ISL_6699755,2021-11-22,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
42,EPI_ISL_6699756,2021-11-22,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
43,EPI_ISL_6699757,2021-11-22,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro,Africa,South Africa,Gauteng,City of Johannesburg Metro
44,EPI_ISL_6699758,2021-11-21,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
45,EPI_ISL_6699759,2021-11-22,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
46,EPI_ISL_6699760,2021-11-22,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
47,EPI_ISL_6699761,2021-11-20,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
48,EPI_ISL_6699762,2021-11-20,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
49,EPI_ISL_6699763,2021-11-20,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
50,EPI_ISL_6699764,2021-11-20,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
51,EPI_ISL_6699765,2021-11-20,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
52,EPI_ISL_6699766,2021-11-19,2021-11-25,Africa / South Africa / Gauteng / Sedibeng,Africa,South Africa,Gauteng,Sedibeng
53,EPI_ISL_6699767,2021-11-21,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
54,EPI_ISL_6699768,2021-11-22,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
55,EPI_ISL_6699769,2021-11-22,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
56,EPI_ISL_6699770,2021-11-22,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
57,EPI_ISL_6699771,2021-11-22,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
58,EPI_ISL_6704864,2021-11-20,2021-11-25,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
59,EPI_ISL_6704867,2021-11-20,2021-11-25,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
60,EPI_ISL_6704870,2021-11-20,2021-11-25,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
61,EPI_ISL_6704871,2021-11-20,2021-11-25,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
62,EPI_ISL_6704872,2021-11-20,2021-11-25,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
63,EPI_ISL_6704873,2021-11-20,2021-11-25,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
64,EPI_ISL_6704874,2021-11-20,2021-11-25,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
65,EPI_ISL_6704875,2021-11-20,2021-11-25,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
66,EPI_ISL_6716890,2021-11-20,2021-11-25,Asia / Hong Kong,Asia,Hong Kong,,
67,EPI_ISL_6716902,2021-11-15,2021-11-25,Asia / Hong Kong,Asia,Hong Kong,,
68,EPI_ISL_6752026,2021-11-11,2021-11-25,Africa / Botswana / Lobatse,Africa,Botswana,Lobatse,
69,EPI_ISL_6752027,2021-11-21,2021-11-25,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
70,EPI_ISL_6774081,2021-11-23,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
71,EPI_ISL_6774082,2021-11-21,2021-11-26,Africa / Botswana / Palapye,Africa,Botswana,Palapye,
72,EPI_ISL_6774083,2021-11-23,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
73,EPI_ISL_6774084,2021-11-22,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
74,EPI_ISL_6774085,2021-11-23,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
75,EPI_ISL_6774086,2021-11-21,2021-11-26,Africa / Botswana / Palapye,Africa,Botswana,Palapye,
76,EPI_ISL_6774087,2021-11-23,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
77,EPI_ISL_6774088,2021-11-23,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
78,EPI_ISL_6774089,2021-11-22,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
79,EPI_ISL_6774090,2021-11-23,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
80,EPI_ISL_6774091,2021-11-23,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
81,EPI_ISL_6774092,2021-11-17,2021-11-26,Africa / Botswana / Palapye,Africa,Botswana,Palapye,
82,EPI_ISL_6774093,2021-11-23,2021-11-26,Africa / Botswana / Gaborone,Africa,Botswana,Gaborone,
83,EPI_ISL_6777160,2021-11-22,2021-11-26,Europe / Italy / Lombardia,Europe,Italy,Lombardia,
84,EPI_ISL_6782043,2021-11-15,2021-11-26,Africa / South Africa / Gauteng / City of Johannesburg Metro Region C,Africa,South Africa,Gauteng,City of Johannesburg Metro Region C
85,EPI_ISL_6782055,2021-11-18,2021-11-26,Africa / South Africa / Gauteng / Sedibeng,Africa,South Africa,Gauteng,Sedibeng
86,EPI_ISL_6782056,2021-11-18,2021-11-26,Africa / South Africa / Gauteng / City of Johannesburg Metro Region C,Africa,South Africa,Gauteng,City of Johannesburg Metro Region C
87,EPI_ISL_6782071,2021-11-19,2021-11-26,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
88,EPI_ISL_6782079,2021-11-19,2021-11-26,Africa / South Africa / Gauteng / City of Johannesburg Metro,Africa,South Africa,Gauteng,City of Johannesburg Metro
89,EPI_ISL_6782080,2021-11-19,2021-11-26,Africa / South Africa / Gauteng / City of Johannesburg Metro Region B,Africa,South Africa,Gauteng,City of Johannesburg Metro Region B
90,EPI_ISL_6782084,2021-11-22,2021-11-26,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
91,EPI_ISL_6782090,2021-11-19,2021-11-26,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
92,EPI_ISL_6782092,2021-11-22,2021-11-26,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
93,EPI_ISL_6794907,2021-11-24,2021-11-27,Europe / Belgium / Sint-Pieters-Leeuw,Europe,Belgium,Sint-Pieters-Leeuw,
94,EPI_ISL_6795188,2021-11-12,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
95,EPI_ISL_6795189,2021-11-12,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
96,EPI_ISL_6795190,2021-11-12,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
97,EPI_ISL_6795191,2021-11-11,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
98,EPI_ISL_6795192,2021-11-09,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
99,EPI_ISL_6795193,2021-11-12,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
100,EPI_ISL_6795195,2021-11-19,2021-11-27,Africa / South Africa / KwaZulu-Natal,Africa,South Africa,KwaZulu-Natal,
101,EPI_ISL_6795199,2021-11-19,2021-11-27,Africa / South Africa / KwaZulu-Natal,Africa,South Africa,KwaZulu-Natal,
102,EPI_ISL_6795202,2021-11-22,2021-11-27,Africa / South Africa / KwaZulu-Natal,Africa,South Africa,KwaZulu-Natal,
103,EPI_ISL_6795212,2021-11-20,2021-11-27,Asia / Israel,Asia,Israel,,
104,EPI_ISL_6795406,2021-11-23,2021-11-27,Africa / South Africa / KwaZulu-Natal,Africa,South Africa,KwaZulu-Natal,
105,EPI_ISL_6795833,2021-11-17,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
106,EPI_ISL_6795835,2021-11-17,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
107,EPI_ISL_6795836,2021-11-17,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
108,EPI_ISL_6795837,2021-11-16,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
109,EPI_ISL_6795838,2021-11-16,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
110,EPI_ISL_6795839,2021-11-16,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
111,EPI_ISL_6795840,2021-11-16,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
112,EPI_ISL_6795841,2021-11-16,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
113,EPI_ISL_6795842,2021-11-16,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
114,EPI_ISL_6795844,2021-11-16,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
115,EPI_ISL_6795845,2021-11-16,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
116,EPI_ISL_6795846,2021-11-15,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
117,EPI_ISL_6795847,2021-11-15,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
118,EPI_ISL_6795848,2021-11-15,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
119,EPI_ISL_6795849,2021-11-15,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
120,EPI_ISL_6795850,2021-11-13,2021-11-27,Africa / South Africa / Gauteng / Tshwane,Africa,South Africa,Gauteng,Tshwane
121,EPI_ISL_6810482,2021-11-17,2021-11-27,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
